WORD,THAI,ENGLISH
ที่,tʰîː,at
ได้,dâj,can
จะ,tɕàʔ,will
นี้,níː,this
ว่า,wâː,that; think
เป็น,pen,is; be able
มี,miː,have; there is
ให้,hâj,for
ต้อง,tɔ̂ŋ,must
ของ,kʰɔ̌ːŋ,of
กับ,kàp,with
ไม่,mâj,not
และ,lɛ́ʔ,and
ใน,naj,in
กัน,kan,together
ขึ้น,kʰɯ̂n,increase; up
ด้วย,dûaj,with; also
จาก,tɕàːk,from
การ,kaːn,the process of; work; job
ไป,paj,go
มา,maː,come
ถึง,tʰɯ̌ŋ,reach; arrive at
กว่า,kwàː,than
ทั้ง,tʰáŋ,all; both
เมื่อ,mɯ̂ːa,when
คน,kʰon,person
แต่,tɛ̀ː,but
อยู่,jùː,located; present; exists
ก็,kɔ̂ː,then
เรื่อง,rɯ̂ːaŋ,subject; story
อย่าง,jàːŋ,type; like
ความ,kʰwaːm,matter; affair; subject
นั้น,nán,that
มาก,mâːk,much
แล้ว,lɛ́ːw,already
ถูก,tʰùːk,cheap
ไว้,wáj,to put in place; trust; to preserve
หรือ,rɯ̌ː,or
เพราะ,pʰrɔ́ʔ,because
เวลา,weː laː,time
ยัง,jaŋ,still
ทำ,tʰam,do
เห็น,hěn,see
เข้า,kʰâw,enter
ชั้น,tɕʰán,layer; level; grade
ซึ่ง,sɯ̂ŋ,which
ลง,loŋ,down
ถ้า,tʰâː,if
ตัว,tuːa,body
ใช้,tɕʰáj,use
ตาม,taːm,follow; acccording
บาง,baːŋ,some; thin
อีก,ʔìːk,more
ทำให้,tʰam hâj,make
ทาง,tʰaːŋ,way; direction
แบบ,bɛ̀ːp,model; style
ออก,ʔɔ̀ːk,exit
ที่สุด,tʰîː sùt,most
เรา,raw,we; us
โดย,doːj,by
ดี,diː,good
เพื่อ,pʰɯ̂ːa,for
จึง,tɕɯŋ,therefore
ต่อ,tɔ̀ː,to; connector; per
ครั้ง,kʰráŋ,time
เขา,kʰǎw,he
หลาย,lǎːj,many
ผู้,pʰûː,person
ทุก,tʰúk,each
น้อย,nɔ́ːj,little
คือ,kʰɯː,is
หาก,hàːk,if
เกิด,kɤ̀ːt,born
ปี,piː,year
งาน,ŋaːn,work; festival
ใหม่,màj,new
ตั้ง,tâŋ,set
ส่วน,sùːan,section
รับ,ráp,receive
แรก,rɛ̂ːk,first
พระ,pʰráʔ,monk
ทำงาน,tʰam ŋaːn,work
วัน,wan,day
ช่วย,tɕʰûaj,help
เพียง,pʰiːaŋ,only
อาจ,ʔàːt,may
ขนาด,kʰà nàːt,size
อื่น,ʔɯ̀ːn,another
นัก,nák,very; extremely
เริ่ม,rɤ̂ːm,begin
เด็ก,dèk,child
ชีวิต,tɕʰiː wít,life
สูง,sǔːŋ,high
ก่อน,kɔ̀ːn,before
เปลี่ยน,plìːan,change
ต่าง,tàːŋ,different
ต่อไป,tɔ̀ː paj,next
ดู,duː,look at; examine
แห่ง,hɛ̀ŋ,location; place; spot
