WORD,THAI,ENGLISH
ที่,tʰîː,at
มี,miː,have; there is
ต้อง,tɔ̂ŋ,must
ของ,kʰɔ̌ːŋ,of
ด้วย,dûaj,with; also
จาก,tɕàːk,from
การ,kaːn,the process of; work; job
ถึง,tʰɯ̌ŋ,reach; arrive at
กว่า,kwàː,than
ทั้ง,tʰáŋ,all; both
เมื่อ,mɯ̂ːa,when
คน,kʰon,person
ก็,kɔ̂ː,then
เรื่อง,rɯ̂ːaŋ,subject; story
อย่าง,jàːŋ,type; like
นั้น,nán,that
ชั้น,tɕʰán,layer; level; grade
ซึ่ง,sɯ̂ŋ,which
ถ้า,tʰâː,if
แบบ,bɛ̀ːp,model; style
ออก,ʔɔ̀ːk,exit
ที่สุด,tʰîː sùt,most
ดี,diː,good
เพื่อ,pʰɯ̂ːa,for
จึง,tɕɯŋ,therefore
หลาย,lǎːj,many
คือ,kʰɯː,is
หาก,hàːk,if
พระ,pʰráʔ,monk
ทำงาน,tʰam ŋaːn,work
ช่วย,tɕʰûaj,help
เพียง,pʰiːaŋ,only
อาจ,ʔàːt,may
ขนาด,kʰà nàːt,size
อื่น,ʔɯ̀ːn,another
นัก,nák,very; extremely
เริ่ม,rɤ̂ːm,begin
เปลี่ยน,plìːan,change
ต่าง,tàːŋ,different
